video_id,title,published_at,views,likes,comments,duration
PSpSu1maU44,My Girlfriend Is Richer Than Me,2020-01-13T12:00:07Z,5453676,146650,4244,PT1M5S
YvUOo8J1xIo,How I Stopped Cursing,2020-01-10T12:00:08Z,3350881,74928,3820,PT1M6S
D9xT3JY0lDU,She Is Married To Chocolate,2020-01-08T12:00:04Z,8321476,117912,7800,PT1M5S
cotcMWOgQL0,Smoking Is Banned?!,2020-01-07T12:00:06Z,3445569,56833,3877,PT1M24S
C07QTOrgsvk,The Fruit Language,2020-01-06T12:00:02Z,1244598,19502,1156,PT1M24S
4khqOQDtVKA,"This Language Has No ""Please""!",2020-01-03T12:00:01Z,4564940,72816,3636,PT1M6S
90wQUIF9IjU,The City That Beat A Typhoon!,2020-01-02T12:00:02Z,512227,14087,1308,PT1M13S
Y7UUltUsmAg,The Woman Tax?!,2019-12-31T12:00:06Z,2789290,48341,3896,PT1M20S
ObZh-yV2uK0,The Boiling River,2019-12-30T12:00:07Z,772006,15787,1067,PT1M23S
BFXvXQX9J3k,$20 An Hour For This?,2019-12-27T12:00:00Z,891835,18037,1186,PT1M9S
bipfhdmIclY,The Kid Who Started a Bank,2019-12-26T12:00:05Z,1468605,28878,2676,PT1M26S
8okxrSpVD1s,The Holy Land is Merry!,2019-12-25T12:00:00Z,190926,6936,794,PT1M1S
yKTC2AfBabM,He's the Most Inspiring Man!,2019-12-24T12:00:11Z,4052801,105309,3313,PT1M12S
NAGiiPd3k5M,How Albania Prays?!,2019-12-23T14:17:54Z,407304,10610,1667,PT1M19S
J4pNKRg7-hY,What I saw in 30 countries!,2019-12-18T15:00:04Z,276687,8912,1162,PT1M7S
1EXrSToXp3I,She Rented A Boyfriend,2019-12-17T12:00:01Z,1520175,33309,2040,PT1M14S
Byuap-zS3cc,How Singapore Cleans,2019-12-16T12:00:02Z,147987,5072,618,PT1M20S
eBV4yEKSxVM,He Is The Tallest Man,2019-12-12T12:00:07Z,5122044,74227,4986,PT1M14S
oW0QLsyj4o8,How Latinos Say Hello,2019-12-11T12:00:16Z,1117249,22317,1839,PT1M9S
yrQp1LaQoiQ,The Strongest Accent?!,2019-12-10T12:00:12Z,11492780,244911,12888,PT1M10S
SZLN4XWGp8g,How Much Should Love Cost?,2019-12-09T12:00:08Z,224705,9756,574,PT1M50S
pM0FybwOzks,Canada’s Crazy Library,2019-12-07T12:00:09Z,373972,10021,633,PT2M1S
Pq-b_P9BaeA,The Island with No Snakes!,2019-12-06T12:00:05Z,2669104,44665,4019,PT1M20S
BBDaq5JPhHo,Is Apple Worth It?!,2019-12-05T12:00:06Z,2888052,78069,6314,PT1M4S
OX8-BIRDMGw,This is Made of...PEE?!,2019-12-04T12:00:05Z,5484866,115444,7473,PT1M18S
BaT8vwFnKKo,"$50,000 FOR THIS?!",2019-11-29T12:00:02Z,4418324,66823,2870,PT1M4S
mq8Kq8iCHlU,This Will Make You Happy,2019-11-28T12:00:05Z,2054925,38290,1559,PT1M12S
5A_4_k1nwzk,This Guy Will Never Die!,2019-11-25T12:00:00Z,17362680,339089,18902,PT1M13S
xYtI2HNMIcc,The Country With No Starbucks,2019-11-21T12:00:21Z,2268240,38188,5269,PT1M15S
RPG3BKJVU34,The Ocean Is Gone!,2019-11-20T12:00:06Z,1424406,33333,1210,PT1M16S
Gm-Yb4oxGBU,Why I Don't Buy Things,2019-11-19T12:00:02Z,369590,13143,606,PT1M53S
SZ5a_jfJIqY,"The ""Flat Earth"" Island?",2019-11-18T12:00:07Z,694022,14355,794,PT1M21S
LkDsP4XqUB8,The Country With Most Languages!,2019-11-15T12:00:05Z,296822,6914,1076,PT1M15S
WTe8B-OTuZ0,How Beautiful Are Turkish Men?!,2019-11-14T12:00:06Z,1176487,26562,1728,PT1M4S
fJJoC-vJeoo,Where you DON'T SWEAT!,2019-11-13T12:00:14Z,4571926,84175,2379,PT1M11S
8_vFa8AfzHg,The Most Unique Language,2019-11-10T12:02:17Z,1041376,18159,1164,PT1M11S
cZ6lc1RufBU,The Jungle King!,2019-11-08T12:00:11Z,7941929,83050,6183,PT1M26S
nrP7uFKBDWE,Where Gravity Doesn't Work?,2019-11-05T12:00:09Z,12529893,257948,7345,PT1M16S
dX2mCMzOrYQ,World's Vegan City!,2019-11-01T12:00:07Z,4013763,57659,4756,PT1M24S
m3iySI82BAw,World's Best Airport!,2019-10-19T12:00:09Z,5099175,77381,5281,PT1M21S
7LhJj87k1ME,This Is Made Of POOP?!,2019-10-14T12:00:01Z,6669667,135074,11745,PT1M10S
7stSxsIXU0s,"The ""Red Mouth"" Nut!",2019-10-13T11:20:21Z,590551,10092,709,PT1M7S
r2btPYgq-FI,He Wanted to be Black...,2019-10-10T11:19:44Z,5069645,93767,5194,PT1M7S
CLXjCJP4oPw,He is The Most Amazing Kid.,2019-10-09T14:56:23Z,2991889,54943,0,PT1M8S
Khca8mYkTUk,Where Everything Is Flipped!,2019-10-08T11:04:38Z,5413400,96134,8111,PT1M9S
AOjreE5AivA,Is this the shortest language?!,2019-10-07T10:04:09Z,2396435,59581,3589,PT1M8S
dQSUqaRnIBA,The Strongest Passport?!,2019-10-05T05:40:19Z,1629914,35129,1606,PT1M8S
PoFn41q-w5M,The Million Dollar Spin,2019-10-03T12:02:48Z,5950135,112192,3087,PT1M23S
qZ_32hoYksg,He Makes Vodka From Sheep,2020-05-11T12:00:28Z,425639,13300,2102,PT1M5S
qZ_32hoYksg,He Makes Vodka From Sheep,2020-05-11T12:00:28Z,425639,13300,2102,PT1M5S
xgWdlj-Ea-M,He Made Science Easy,2020-05-12T12:00:40Z,893006,29487,2138,PT1M9S
xgWdlj-Ea-M,He Made Science Easy,2020-05-12T12:00:40Z,893006,29487,2138,PT1M9S
xgWdlj-Ea-M,He Made Science Easy,2020-05-12T12:00:40Z,893006,29487,2138,PT1M9S
xgWdlj-Ea-M,He Made Science Easy,2020-05-12T12:00:40Z,893006,29487,2138,PT1M9S
PQ--tPaMACY,World's Longest Names?!,2020-05-18T12:00:21Z,6856372,91802,10782,PT1M27S
PQ--tPaMACY,World's Longest Names?!,2020-05-18T12:00:21Z,6856372,91802,10782,PT1M27S
kAyZes71BkA,How Beautiful Is The Maldives?,2020-05-15T12:00:21Z,340985,12708,1666,PT1M9S
kAyZes71BkA,How Beautiful Is The Maldives?,2020-05-15T12:00:21Z,340985,12708,1666,PT1M9S
3NMNRRqGqc8,What I Learned From A Mine Field,2020-05-19T12:00:03Z,2516212,42828,2247,PT1M5S
3NMNRRqGqc8,What I Learned From A Mine Field,2020-05-19T12:00:03Z,2516212,42828,2247,PT1M5S
mQ7xQ1TGBFU,He Is The Youngest Mayor!,2020-05-20T12:00:33Z,451450,17404,1592,PT1M1S
mQ7xQ1TGBFU,He Is The Youngest Mayor!,2020-05-20T12:00:33Z,451450,17404,1592,PT1M1S
QmW30097p6A,The Cinema By The Sea!,2020-05-22T12:00:28Z,419413,14042,908,PT1M8S
QmW30097p6A,The Cinema By The Sea!,2020-05-22T12:00:28Z,419413,14042,908,PT1M8S
vg_UX2N4Qvc,What I Learned From Muslims,2020-05-14T12:00:30Z,983716,42822,4445,PT1M6S
O_UyCYCWqH0,Are We Teaching Hate To Children?,2020-05-25T13:30:03Z,745651,24578,1976,PT1M3S
O_UyCYCWqH0,Are We Teaching Hate To Children?,2020-05-25T13:30:03Z,745651,24578,1976,PT1M3S
O_UyCYCWqH0,Are We Teaching Hate To Children?,2020-05-25T13:30:03Z,745651,24578,1976,PT1M3S
ncrv5GeK-hM,This Is The City Of Cats,2020-05-28T12:00:23Z,1978018,56039,5183,PT1M9S
ncrv5GeK-hM,This Is The City Of Cats,2020-05-28T12:00:23Z,1978018,56039,5183,PT1M9S
ncrv5GeK-hM,This Is The City Of Cats,2020-05-28T12:00:23Z,1978018,56039,5183,PT1M9S
5G7kT8Nz7QE,Before You Flush...,2020-06-08T12:00:02Z,1531402,41539,4335,PT1M20S
5G7kT8Nz7QE,Before You Flush...,2020-06-08T12:00:02Z,1531402,41539,4335,PT1M20S
5G7kT8Nz7QE,Before You Flush...,2020-06-08T12:00:02Z,1531402,41539,4335,PT1M20S
i5N3SppqeMY,Will This Change Your Mind?,2020-05-26T12:00:32Z,416361,18240,4807,PT1M8S
i5N3SppqeMY,Will This Change Your Mind?,2020-05-26T12:00:32Z,416361,18240,4807,PT1M8S
GwttndO03rI,When Women Travel,2020-06-01T12:00:07Z,683805,24032,1445,PT1M5S
GwttndO03rI,When Women Travel,2020-06-01T12:00:07Z,683805,24032,1445,PT1M5S
GwttndO03rI,When Women Travel,2020-06-01T12:00:07Z,683805,24032,1445,PT1M5S
rjKD2vDUz7s,He Survived Tragedy,2020-06-02T12:00:30Z,709919,23801,1444,PT1M9S
rjKD2vDUz7s,He Survived Tragedy,2020-06-02T12:00:30Z,709919,23801,1444,PT1M9S
urX1TW8ZsPY,The Most Surprising Country!,2020-06-03T12:00:25Z,278803,12211,1519,PT1M8S
urX1TW8ZsPY,The Most Surprising Country!,2020-06-03T12:00:25Z,278803,12211,1519,PT1M8S
BiKB0c60Z9w,Can You Speak This Language?!,2020-06-09T12:00:08Z,382471,14641,1827,PT1M9S
BiKB0c60Z9w,Can You Speak This Language?!,2020-06-09T12:00:08Z,382471,14641,1827,PT1M9S
Ae50WXWbNwM,Is This The Shortest Language?,2020-06-04T12:00:04Z,715677,21939,2442,PT1M8S
Ae50WXWbNwM,Is This The Shortest Language?,2020-06-04T12:00:04Z,715677,21939,2442,PT1M8S
_G8RYJXmeYw,The City Without Taxes,2020-06-11T12:00:13Z,497435,17014,1676,PT1M4S
_G8RYJXmeYw,The City Without Taxes,2020-06-11T12:00:13Z,497435,17014,1676,PT1M4S
_G8RYJXmeYw,The City Without Taxes,2020-06-11T12:00:13Z,497435,17014,1676,PT1M4S
VYLmHKoRsh8,She Has 800 Cats,2020-06-12T12:00:14Z,2649719,44517,3747,PT1M6S
VYLmHKoRsh8,She Has 800 Cats,2020-06-12T12:00:14Z,2649719,44517,3747,PT1M6S
c62fi6B11rI,Am I Bad Muslim?!,2020-06-21T12:30:09Z,2359897,79892,21951,PT1M7S
c62fi6B11rI,Am I Bad Muslim?!,2020-06-21T12:30:09Z,2359897,79892,21951,PT1M7S
s_y-bKlQVnE,The Most Polite Country?!,2020-06-16T12:00:18Z,340328,16070,1681,PT1M16S
s_y-bKlQVnE,The Most Polite Country?!,2020-06-16T12:00:18Z,340328,16070,1681,PT1M16S
6ExUttsnsMg,The Loneliest Airport,2020-06-17T12:00:03Z,1905630,37998,2259,PT1M3S
6ExUttsnsMg,The Loneliest Airport,2020-06-17T12:00:03Z,1905630,37998,2259,PT1M3S
6ExUttsnsMg,The Loneliest Airport,2020-06-17T12:00:03Z,1905630,37998,2259,PT1M3S
3hPAh_JG25E,Why I Don't Spend Money,2020-06-23T12:00:00Z,449024,18366,1659,PT1M6S
3hPAh_JG25E,Why I Don't Spend Money,2020-06-23T12:00:00Z,449024,18366,1659,PT1M6S
MaYu9yCoirw,How Dangerous Is Africa?!,2020-06-22T12:00:15Z,2200699,48142,2271,PT1M6S
MaYu9yCoirw,How Dangerous Is Africa?!,2020-06-22T12:00:15Z,2200699,48142,2271,PT1M6S
4QhIuLZnJbo,We Killed The Dead Sea,2020-06-30T12:00:01Z,3273378,64453,3351,PT1M7S
4QhIuLZnJbo,We Killed The Dead Sea,2020-06-30T12:00:01Z,3273378,64453,3351,PT1M7S
kzGTxzP3sTI,We Broke Up,2020-08-10T12:00:10Z,2803515,89239,4449,PT1M6S
kzGTxzP3sTI,We Broke Up,2020-08-10T12:00:10Z,2803515,89239,4449,PT1M6S
krars2wx0kw,Why I Never Smoke,2020-07-06T12:00:29Z,3097407,74923,6492,PT1M13S
krars2wx0kw,Why I Never Smoke,2020-07-06T12:00:29Z,3097407,74923,6492,PT1M13S
krars2wx0kw,Why I Never Smoke,2020-07-06T12:00:29Z,3097407,74923,6492,PT1M13S
krars2wx0kw,Why I Never Smoke,2020-07-06T12:00:29Z,3097407,74923,6492,PT1M13S
krars2wx0kw,Why I Never Smoke,2020-07-06T12:00:29Z,3097407,74923,6492,PT1M13S
CjPnlGkNi3A,China's Iron Man!,2020-08-07T12:30:00Z,297191,10362,1717,PT1M20S
CjPnlGkNi3A,China's Iron Man!,2020-08-07T12:30:00Z,297191,10362,1717,PT1M20S
x-anU0kLh1c,Why I Don't Eat Pork!,2020-08-06T12:00:15Z,4270605,104481,13335,PT1M12S
eoRCJpx-XLY,Why I Quit Partying,2020-06-26T12:00:22Z,1131855,26487,1838,PT1M19S
hLMuUTO2l48,This Haircut Is $355!,2020-06-29T12:00:24Z,3043771,53341,2491,PT1M6S
Ecubv1E2wOU,What's My Favorite Country?,2020-07-01T12:00:10Z,882455,39812,7643,PT1M3S
_WFlfDpC6W0,I Ran Out Of Cash!,2020-07-02T12:00:31Z,2141539,54219,4374,PT1M2S
t0WlLMOTtrc,He Wanted To Die,2020-08-04T12:00:16Z,5837838,127548,8480,PT1M5S
Pp5wdQPeE5k,Visa Rejected?!,2020-08-19T12:00:05Z,448380,19667,1274,PT1M6S
Pp5wdQPeE5k,Visa Rejected?!,2020-08-19T12:00:05Z,448380,19667,1274,PT1M6S
Pp5wdQPeE5k,Visa Rejected?!,2020-08-19T12:00:05Z,448380,19667,1274,PT1M6S
SHBnp-yDx_A,How Video Games Changed My Life!,2020-07-14T12:00:20Z,2335717,85271,7118,PT1M16S
SHBnp-yDx_A,How Video Games Changed My Life!,2020-07-14T12:00:20Z,2335717,85271,7118,PT1M16S
SHBnp-yDx_A,How Video Games Changed My Life!,2020-07-14T12:00:20Z,2335717,85271,7118,PT1M16S
MPEa2mHmz5M,How Cheap Is Thailand?!!,2020-07-30T12:00:07Z,1686076,27176,2289,PT1M6S
jRPh01ehL7Q,The Amazon in 1 Minute,2020-08-20T12:30:05Z,374743,17516,1318,PT1M6S
xCd-deppop4,I Was Scared of Government!,2020-07-27T12:00:30Z,368743,14709,1535,PT1M9S
oFpMuZkUMcI,World's Best Punishment?!,2020-08-13T12:00:13Z,4782828,106817,6083,PT1M10S
RxTUlh16f38,Canada's Superman,2020-07-09T12:00:08Z,388410,16786,1895,PT2M17S
RxTUlh16f38,Canada's Superman,2020-07-09T12:00:08Z,388410,16786,1895,PT2M17S
1Hq61_9oR_M,Life Of A Mother,2021-05-09T12:00:00Z,635675,21000,3514,PT1M6S
1Hq61_9oR_M,Life Of A Mother,2021-05-09T12:00:00Z,635675,21000,3514,PT1M6S
1WHFSURMR1M,The Millionaire Who Picks Coins,2020-07-16T12:00:00Z,299138,13633,2340,PT2M22S
1WHFSURMR1M,The Millionaire Who Picks Coins,2020-07-16T12:00:00Z,299138,13633,2340,PT2M22S
lXhLofTAfKs,She Had 4 Tragedies,2020-07-20T12:00:24Z,613065,28391,1400,PT2M32S
lXhLofTAfKs,She Had 4 Tragedies,2020-07-20T12:00:24Z,613065,28391,1400,PT2M32S
lXhLofTAfKs,She Had 4 Tragedies,2020-07-20T12:00:24Z,613065,28391,1400,PT2M32S
3B1Vf4UMx1c,Why I Hate Singapore,2020-07-21T12:00:03Z,1171787,47070,5471,PT2M39S
3B1Vf4UMx1c,Why I Hate Singapore,2020-07-21T12:00:03Z,1171787,47070,5471,PT2M39S
WJa6DyfnoUI,Why Arabs Eat On The Floor,2020-07-17T12:15:03Z,2451939,51869,10364,PT1M14S
PSklWv-CI30,How American Is The Philippines?!,2020-08-18T12:00:08Z,1366003,59761,8288,PT1M6S
Zhw99kBXy8s,Muslim's Best Friend,2020-07-23T12:00:11Z,695684,28936,2316,PT2M36S
LD2_y1kcRgk,Why I Never Take A Day Off,2020-07-31T12:00:05Z,213770,12291,1013,PT2M16S
ThcjzySJDxk,Africa's Best Food?!,2020-07-29T12:00:09Z,303312,13096,1704,PT1M53S
FEoIk3nplX4,They Were Here First,2020-07-28T12:00:05Z,333627,13325,1387,PT2M15S
Zvtekg8GW4s,The World's Oldest Culture!,2020-08-12T12:00:12Z,254231,12486,1320,PT2M1S
3djHIqt8uh4,The Billion Dollar City!,2020-08-14T12:00:03Z,329537,16948,1245,PT2M
3Pc8QS3wWYM,The Country Never Colonized,2020-08-21T12:00:02Z,308275,16071,2558,PT2M3S
Lg6SJQiwpfw,Airport's Dirty Secret,2020-08-24T16:06:47Z,1125273,28615,1387,PT1M11S
nZJ35WLm5Fc,$3 For Clothes?!,2020-08-27T12:30:09Z,429849,15110,1464,PT1M9S
VsQZAMbcNL8,World's Biggest Teacher,2020-09-04T12:00:31Z,349977,19369,1303,PT2M5S
b6vWFpcsHlY,My Data Got Leaked!,2020-08-28T12:00:19Z,665979,29816,1628,PT1M7S
lAGy6fxKAAM,This is The Land of Free Water!,2020-08-30T16:00:29Z,366166,15865,1351,PT1M14S
w5UO-DmKb-I,I Choose to Disagree with Kanye,2020-08-31T12:16:25Z,1203170,52688,5371,PT1M9S
BDY5VJeK5aQ,The Happiest Cemetery?!,2020-09-06T12:00:02Z,240505,11019,1145,PT1M21S
gJvDYuF1ux8,He Never Grew Up,2020-09-07T12:00:10Z,8444881,139169,4546,PT1M5S
rA7RUneUaK8,Your Life Without Mexico,2020-09-08T12:00:19Z,1081025,28876,2805,PT1M5S
PWLX3YjqdJg,I Visited The Wall...,2020-09-12T12:30:06Z,398199,14884,1318,PT1M7S
5vGZr130Uws,The Parent Trap,2020-09-14T12:00:02Z,2150174,53395,2685,PT1M18S
GylsFdBL7CI,Why Hawaiian Clothes are the Best,2020-09-11T12:00:05Z,260821,10182,767,PT1M15S
e6UgayiF96c,He Was Born On a Plane!,2020-09-15T12:00:10Z,8850509,138719,6832,PT1M13S
-WHBm0IEr_k,Why is Everything Made in China?,2020-09-21T12:00:01Z,5058910,97013,7932,PT1M15S
iQ3LNnN4TRo,I am in Debt,2020-09-18T12:00:40Z,506384,24323,1877,PT1M10S
ayCOyCgT0cY,Is This Unique?,2020-09-20T12:00:01Z,1375482,40357,2021,PT1M2S
ZapshXycF48,He Has Two Wives,2020-09-22T12:00:07Z,2087467,40203,3911,PT1M4S
nVe4yGMjKZo,Why is Berlin Not Expensive?,2020-09-23T12:00:28Z,409100,15108,1103,PT1M11S
QCbvJojJ0pg,The Most Unique Hotel?!,2020-09-24T12:00:10Z,240736,10672,775,PT1M6S
1VMyf3U4aRQ,17 and Pregnant,2020-10-05T12:00:00Z,1515348,38696,2449,PT1M6S
M29XZhZfCEA,China's Fake Paris!,2020-09-30T12:00:06Z,396533,10678,1216,PT1M12S
NePPmj5muWU,The Jerusalem Syndrome,2020-09-29T12:00:05Z,274310,11807,1146,PT2M23S
PgXEAjMO2Hk,Is Africa Safer Than America?,2020-10-03T12:00:05Z,260951,11834,1109,PT1M5S
tzCI14geMyQ,Safest Place in the World?!,2020-10-06T12:00:11Z,902822,21694,1404,PT1M6S
NSNrXtMyLQo,Why This Doesn't Mean You're Smart!,2020-10-09T12:00:06Z,1102812,29497,3325,PT1M13S
TCVh25y7SzY,Every Parent's Dream,2020-10-07T12:00:05Z,290515,11850,1200,PT2M3S
Yd1N6y0ucMA,He Has An Island!,2020-10-12T12:00:07Z,960351,22670,2776,PT1M9S
o6LO_u0M7sU,She Has The Hardest Job,2020-10-08T12:00:12Z,3606352,89922,3374,PT1M8S
R3Zx0NkQlRY,Where Everything is Flipped!,2020-10-13T12:00:08Z,257142,11984,1358,PT1M37S
CcquFZxr9HU,"The ""Red Mouth"" Nut",2020-10-14T12:00:03Z,1372036,25020,1896,PT1M35S
C-U3X19Pcj0,Where Gravity Doesn't Work?!,2020-10-16T12:00:02Z,323141,12640,1468,PT1M42S
9ZvsT1ahgZ0,We Can't Marry,2020-10-19T12:00:02Z,547443,18268,1546,PT1M36S
VHkqC1veiwM,My Mom Has No Bomb!,2020-10-20T12:00:14Z,1948827,72156,3661,PT1M43S
2owmMAVH6Uk,About Eating Animals,2020-10-23T12:00:00Z,287462,13796,1899,PT1M37S
0rb9pM3i4jg,How We Got Married,2020-10-26T12:00:00Z,358525,15469,1254,PT1M47S
mnxv2DmXFUY,Is America The Best?,2020-10-24T12:00:10Z,998916,34820,3424,PT7M28S
Q0CuMVS4YUI,The Most Beautiful Country!,2020-10-21T12:00:05Z,235355,11192,1040,PT1M33S
1TsCeSzfxj8,How Fun is Ireland?,2020-10-28T12:00:01Z,182891,8392,1088,PT1M40S
EL2HPCRKjGU,Milk Vs. Vegan,2020-10-27T12:00:02Z,228153,10372,1271,PT1M39S
eFnYoa6XMwQ,Where People Divorce The Most!,2020-10-29T12:00:09Z,245083,10657,820,PT1M33S
jw4jy1fBBG0,Is This Offensive?,2020-10-30T12:00:27Z,191454,12049,964,PT1M37S
tC-mJCxJqKA,Let's Talk Suicide,2020-11-02T12:00:10Z,344620,18172,1997,PT1M12S
knyT-sJQbXM,Can You Make Music From This?!,2020-11-03T12:00:21Z,141656,6605,1100,PT1M45S
ESqp05BwIuQ,Where My Stuff Got Stolen,2020-11-09T12:00:05Z,368067,14549,914,PT1M38S
FGj6RlZAnyA,Her Hair Is Not Hers,2020-11-05T12:00:03Z,2318495,60356,2077,PT1M37S
Q9oZm2mWtDw,The Strongest Accent?!,2020-11-07T12:00:05Z,262633,12330,1463,PT1M37S
SY_bQojomyU,This Is The New Bitcoin!,2020-11-10T12:00:04Z,276968,13243,1123,PT1M36S
JXBxMmkWAYc,His Pet Died 10 Times,2020-11-11T12:00:04Z,3542752,96040,2888,PT1M36S
